filename,description,tone,density,mood,category
texture_sample_54,Pitched down crickets and cicadas and a dark throbbing wind noise.,cool,moderate,intense,Mixed
texture_sample_55,Flickering grains sounds like they are calculating.,neutral,moderate,neutral,Technological
texture_sample_56,Static and notes and clicks. Transmission that is a little harsh.,neutral,moderate,intense,Technological
texture_sample_57,High frequency kind of quiet static.,neutral,moderate,neutral,Technological
texture_sample_58,Static and sounds of balloons being tapped on and machines.,neutral,moderate,neutral,Technological
texture_sample_59,percussive clicks,neutral,moderate,soothing,Technological
texture_sample_60,clocks and found objects bursting forth here and there like strange percussions.,neutral,moderate,intense,Technological
texture_sample_61,A river of kitchenware. Strange and dense.,neutral,dense,intense,Technological
texture_sample_62,Distant pops and clicks in a large reverberant space.,neutral,moderate,neutral,Technological
texture_sample_63,Slow down and speed up of some clicks and pops.,neutral,moderate,neutral,Technological
texture_sample_64,High pitch clicks and pops almost like a calculation.,cool,moderate,neutral,Technological
texture_sample_65,Drops of water in a big cave.,cool,sparse,soothing,Nature
texture_sample_66,Heartbeat muted in tone.,neutral,sparse,neutral,Biological
texture_sample_67,Rich and beautiful heartbeat with some quiet liquidy noise against it.,neutral,sparse,neutral,Biological
texture_sample_68,Purr of gentle click going up and down.,neutral,moderate,soothing,Technological
texture_sample_69,Calculating like tones in muted but reverberant space.,neutral,dense,soothing,Technological
texture_sample_70,Clicks in a giant space going up and down.,cool,dense,intense,Technological
texture_sample_71,Liquidy clicks sounds like a computer thinking.,cool,dense,neutral,Technological
texture_sample_72,Grains stretching out and tightening,neutral,dense,intense,Technological
texture_sample_73,Reverse chirps that sound almost like electronic creatures.,neutral,dense,neutral,Technological
texture_sample_74,LIquidy and noisy sounds with some grain notes.,neutral,dense,intense,Technological
texture_sample_75,Looping atmosphere with a note and a repeating loopy feel.,cool,moderate,intense,Technological
texture_sample_76,Electronic voices speaking in grains.,neutral,dense,intense,Technological
texture_sample_77,Pulse like sound with an arhtymic beat and a high pitch drone.,cool,sparse,intense,Biological
texture_sample_78,Hospital beats against an arhythmic beat.,cool,sparse,neutral,Biological
